"full_name","description","html_url","language","stargazers_count","forks_count","created_at","updated_at"
"mandiant/Azure_Workshop",,"https://github.com/mandiant/Azure_Workshop","HCL","613","81","2022-07-19T15:24:58Z","2025-04-17T00:26:27Z"
"RhinoSecurityLabs/cloudgoat","CloudGoat is Rhino Security Labs' ""Vulnerable by Design"" AWS deployment tool","https://github.com/RhinoSecurityLabs/cloudgoat","Python","3216","673","2018-07-17T00:21:08Z","2025-05-18T00:24:59Z"
"DataDog/stratus-red-team",":cloud: :zap: Granular, Actionable Adversary Emulation for the Cloud","https://github.com/DataDog/stratus-red-team","Go","2017","242","2022-01-07T13:06:37Z","2025-05-18T01:41:37Z"
"awslabs/aws-security-automation","Collection of scripts and resources for DevSecOps and Automated Incident Response Security","https://github.com/awslabs/aws-security-automation","Python","627","202","2016-03-10T19:33:28Z","2025-05-16T20:21:37Z"
"teamdfir/sift","SIFT","https://github.com/teamdfir/sift",,"506","65","2014-01-18T19:20:06Z","2025-05-15T15:45:17Z"
"awslabs/athena-glue-service-logs","Glue scripts for converting AWS Service Logs for use in Athena","https://github.com/awslabs/athena-glue-service-logs","Python","141","46","2018-05-24T23:15:22Z","2025-03-21T13:59:02Z"
"mnrkbys/vss_carver","Carves and recreates VSS catalog and store from Windows disk image.","https://github.com/mnrkbys/vss_carver","Python","98","21","2018-01-24T07:38:58Z","2025-04-15T17:25:47Z"
"ustayready/fireprox","AWS API Gateway management tool for creating on the fly HTTP pass-through proxies for unique IP rotation","https://github.com/ustayready/fireprox","Python","2054","276","2019-02-08T19:57:18Z","2025-05-18T01:23:23Z"
"randomaccess3/Awesome-BEC","Repository of attack and defensive information for Business Email Compromise investigations","https://github.com/randomaccess3/Awesome-BEC",,"252","29","2021-09-20T12:06:17Z","2025-05-14T07:04:24Z"
"tesorion/TCERT-Cumulonimbus-UAL_Extractor","Cumulonimbus-UAL_Extractor is a PowerShell based tool created by the Tesorion CERT team to help gather the Unified Audit Logging out of a Microsoft 365 environment.","https://github.com/tesorion/TCERT-Cumulonimbus-UAL_Extractor","PowerShell","19","3","2022-05-16T10:53:41Z","2025-01-25T20:44:48Z"
"docker-forensics-toolkit/toolkit","A toolkit for the post-mortem examination of Docker containers from forensic HDD copies","https://github.com/docker-forensics-toolkit/toolkit","Python","99","15","2019-03-10T17:41:39Z","2025-05-03T18:59:06Z"
"wagoodman/dive","A tool for exploring each layer in a docker image","https://github.com/wagoodman/dive","Go","50736","1874","2018-05-13T15:44:01Z","2025-05-18T10:58:59Z"
"mrhavens/Dedockify","Reverse engineer Docker images into Dockerfiles.","https://github.com/mrhavens/Dedockify","Python","273","36","2020-02-12T23:29:11Z","2025-05-15T17:21:01Z"
"jamf/jamfprotect","A repository for open-source resources created for use with or alongside Jamf Protect.","https://github.com/jamf/jamfprotect","Shell","200","28","2021-09-14T18:35:53Z","2025-04-25T19:54:57Z"
"threathunters-io/laurel","Transform Linux Audit logs for SIEM usage","https://github.com/threathunters-io/laurel","Rust","765","63","2021-08-03T07:35:24Z","2025-05-18T09:10:15Z"
"tclahr/uac","UAC is a powerful and extensible incident response tool designed for forensic investigators, security analysts, and IT professionals. It automates the collection of artifacts from a wide range of Unix-like systems, including AIX, ESXi, FreeBSD, Linux, macOS, NetBSD, NetScaler, OpenBSD and Solaris.","https://github.com/tclahr/uac","Shell","967","146","2020-01-08T17:19:35Z","2025-05-16T06:52:44Z"
"gktrk/ext4magic","Unofficial ext4magic repository","https://github.com/gktrk/ext4magic","C","22","5","2015-04-11T05:26:34Z","2025-03-27T02:27:11Z"
"magicsword-io/sigconverter.io","An opensource sigma conversion tool built using pysigma","https://github.com/magicsword-io/sigconverter.io","JavaScript","126","29","2023-08-31T00:08:08Z","2025-05-12T09:47:23Z"
"SigmaHQ/sigma-specification","Sigma rule specification","https://github.com/SigmaHQ/sigma-specification",,"134","39","2022-09-19T04:26:47Z","2025-05-14T09:34:14Z"
"blueteam0ps/AllthingsTimesketch","This repository contains helper scripts and custom configs to get the best out of Google's Timesketch project.","https://github.com/blueteam0ps/AllthingsTimesketch","Shell","109","20","2020-09-13T09:35:17Z","2025-04-19T14:14:49Z"
"ufrisk/MemProcFS","MemProcFS","https://github.com/ufrisk/MemProcFS","C","3565","479","2018-11-18T18:19:49Z","2025-05-18T09:41:51Z"
"oh-az/NoArgs","NoArgs is a tool designed to dynamically spoof and conceal process arguments while staying undetected. It achieves this by hooking into Windows APIs to dynamically manipulate the Windows internals on the go. This allows NoArgs to alter process arguments discreetly.","https://github.com/oh-az/NoArgs","C++","151","24","2024-03-15T16:54:49Z","2025-03-12T20:28:52Z"
"dfirtrack/dfirtrack","DFIRTrack - The Incident Response Tracking Application","https://github.com/dfirtrack/dfirtrack","Python","498","74","2018-11-11T22:14:36Z","2025-04-13T15:42:20Z"
"DFIR-Drew/OCR-Bitmap-Cache",,"https://github.com/DFIR-Drew/OCR-Bitmap-Cache","Python","9","3","2021-07-14T14:42:15Z","2024-08-12T05:07:48Z"
"AirbusProtect/AD-Canaries","The purpose of this project is to publish and maintain the deployment PowerShell script that automates deployments for Active Directory Canary objects.","https://github.com/AirbusProtect/AD-Canaries","PowerShell","250","12","2023-11-24T16:52:23Z","2025-03-19T07:09:52Z"
"RedSiege/GPPDeception","This script generates a groups.xml file that mimics a real GPP to create a new user on domain-joined computers","https://github.com/RedSiege/GPPDeception","PowerShell","46","9","2020-03-07T02:42:24Z","2025-04-18T04:07:49Z"
"zodiacon/WindowsInternals","Windows Internals Book 7th edition Tools","https://github.com/zodiacon/WindowsInternals","C","2512","519","2016-11-15T08:01:35Z","2025-05-17T16:16:07Z"
"cyb3rfox/Aurora-Incident-Response","Incident Response Documentation made easy. Developed by Incident Responders for Incident Responders","https://github.com/cyb3rfox/Aurora-Incident-Response","JavaScript","903","109","2020-06-09T12:12:09Z","2025-05-10T15:56:50Z"
"GyulyVGC/sniffnet","Comfortably monitor your Internet traffic ­ƒòÁ´©ÅÔÇìÔÖé´©Å","https://github.com/GyulyVGC/sniffnet","Rust","23906","730","2022-07-31T21:55:56Z","2025-05-18T10:17:18Z"
"trustedsec/specula",,"https://github.com/trustedsec/specula","Python","192","20","2023-12-07T15:59:52Z","2025-05-13T02:36:02Z"
"tothi/dll-hijack-by-proxying","Exploiting DLL Hijacking by DLL Proxying Super Easily","https://github.com/tothi/dll-hijack-by-proxying","C","506","105","2020-07-08T18:11:17Z","2025-05-17T23:17:17Z"
"Yamato-Security/EnableWindowsLogSettings","Documentation and scripts to properly enable Windows event logs.","https://github.com/Yamato-Security/EnableWindowsLogSettings","Batchfile","611","54","2022-09-22T19:37:55Z","2025-05-11T12:18:23Z"
"refractionPOINT/limacharlie","Old home of LimaCharlie, open source EDR","https://github.com/refractionPOINT/limacharlie",,"30","4","2018-02-23T21:47:31Z","2025-02-04T11:40:24Z"
"adamdriscoll/PoshInternals","A pure script-based PowerShell module that provides deep system analysis and configuration.","https://github.com/adamdriscoll/PoshInternals","PowerShell","195","43","2013-01-29T16:43:26Z","2025-04-01T10:06:22Z"
"hfiref0x/KDU","Kernel Driver Utility","https://github.com/hfiref0x/KDU","C","2135","450","2020-02-02T05:28:35Z","2025-05-18T10:18:08Z"
"hfiref0x/SyscallTables","Windows NT Syscall tables","https://github.com/hfiref0x/SyscallTables","C","1279","251","2016-03-18T08:12:31Z","2025-05-16T08:51:54Z"
"hfiref0x/WinObjEx64","Windows Object Explorer 64-bit","https://github.com/hfiref0x/WinObjEx64","C","1747","298","2015-02-23T05:08:08Z","2025-05-18T03:05:01Z"
"Zeyad-Azima/Offensive-Resources","A Huge Learning Resources with Labs For Offensive Security Players","https://github.com/Zeyad-Azima/Offensive-Resources",,"963","216","2021-02-14T17:00:27Z","2025-05-18T02:01:44Z"
"RayRRT/Active-Directory-Certificate-Services-abuse",,"https://github.com/RayRRT/Active-Directory-Certificate-Services-abuse",,"49","11","2022-07-09T16:40:26Z","2025-05-02T19:29:22Z"
"mq1n/NoMercy","Open source anti cheat","https://github.com/mq1n/NoMercy","C++","492","180","2018-09-15T14:15:45Z","2025-05-10T22:08:38Z"
"elastic/elastic-agent","Elastic Agent - single, unified way to add monitoring for logs, metrics, and other types of data to a host.","https://github.com/elastic/elastic-agent","Go","175","167","2021-12-08T14:46:01Z","2025-05-15T13:18:54Z"
"BC-SECURITY/Malleable-C2-Profiles","Malleable C2 Profiles. A collection of profiles used in different projects using Cobalt Strike & Empire.","https://github.com/BC-SECURITY/Malleable-C2-Profiles",,"366","50","2020-08-28T22:37:09Z","2025-05-14T17:51:40Z"
"nmantani/archiver-MOTW-support-comparison",,"https://github.com/nmantani/archiver-MOTW-support-comparison",,"186","12","2022-03-26T13:05:40Z","2025-05-17T18:26:25Z"
"mgeeky/PackMyPayload","A PoC that packages payloads into output containers to evade Mark-of-the-Web flag & demonstrate risks associated with container file formats. Supports: ZIP, 7zip, PDF, ISO, IMG, CAB, VHD, VHDX","https://github.com/mgeeky/PackMyPayload","Python","917","142","2022-02-08T19:26:28Z","2025-05-12T12:14:06Z"
"ZERODETECTION/MSC_Dropper",,"https://github.com/ZERODETECTION/MSC_Dropper","Python","156","25","2024-06-23T09:44:38Z","2025-05-17T19:28:48Z"
"mandiant/VM-Packages","Chocolatey packages supporting the analysis environment projects FLARE-VM & Commando VM.","https://github.com/mandiant/VM-Packages","PowerShell","177","78","2021-12-16T13:44:42Z","2025-05-14T06:51:54Z"
"Security-Onion-Solutions/securityonion","Security Onion is a free and open platform for threat hunting, enterprise security monitoring, and log management. It includes our own interfaces for alerting, dashboards, hunting, PCAP, detections, and case management. It also includes other tools such as osquery, CyberChef, Elasticsearch, Logstash, Kibana, Suricata, and Zeek.","https://github.com/Security-Onion-Solutions/securityonion","Shell","3702","543","2018-02-05T17:30:31Z","2025-05-17T17:11:07Z"
"trustedsec/defensive-scripts",,"https://github.com/trustedsec/defensive-scripts","PowerShell","46","14","2021-03-18T00:31:53Z","2025-05-16T19:18:23Z"
"kacos2000/WindowsTimeline","Windows 10 (v1803+) ActivitiesCache.db parsers (SQLite, PowerShell, .EXE)","https://github.com/kacos2000/WindowsTimeline","PowerShell","189","21","2018-05-20T11:05:45Z","2025-05-17T15:16:41Z"
"trustedsec/CrackHound",,"https://github.com/trustedsec/CrackHound","Python","139","22","2022-03-03T16:05:20Z","2025-04-29T16:39:39Z"
"trustedsec/SysmonCommunityGuide","TrustedSec Sysinternals Sysmon Community Guide","https://github.com/trustedsec/SysmonCommunityGuide","CSS","1214","174","2020-01-22T20:18:22Z","2025-05-13T23:14:24Z"
"trustedsec/CS-Remote-OPs-BOF",,"https://github.com/trustedsec/CS-Remote-OPs-BOF","C","976","148","2022-04-25T16:32:08Z","2025-05-18T08:07:10Z"
"trustedsec/The_Shelf","Retired TrustedSec Capabilities","https://github.com/trustedsec/The_Shelf","Python","245","14","2024-05-22T14:31:52Z","2025-05-11T02:17:01Z"
"RedefiningReality/Cheatsheets","A collection of all my personal cheat sheets and guides as I progress through my career in offensive security.","https://github.com/RedefiningReality/Cheatsheets",,"201","35","2024-01-05T10:00:00Z","2025-05-14T06:40:15Z"
"RedefiningReality/Cobalt-Strike","Various resources to enhance Cobalt Strike's functionality and its ability to evade antivirus/EDR detection","https://github.com/RedefiningReality/Cobalt-Strike","C++","292","66","2024-03-18T22:13:23Z","2025-05-17T22:22:31Z"
"FULLSHADE/WindowsExploitationResources","Resources for Windows exploit development","https://github.com/FULLSHADE/WindowsExploitationResources",,"1574","320","2020-05-26T07:19:54Z","2025-05-15T00:58:58Z"
"S1ckB0y1337/TokenPlayer","Manipulating  and Abusing Windows Access Tokens.","https://github.com/S1ckB0y1337/TokenPlayer","C++","276","45","2020-08-20T23:05:49Z","2025-05-13T21:08:38Z"
"S1ckB0y1337/Awesome-CobaltStrike","cobaltstrikeþÜäþø©Õà│ÞÁäµ║Éµ▒çµÇ╗ / A collection of cobaltstrike resources to make you better!","https://github.com/S1ckB0y1337/Awesome-CobaltStrike",,"4","0","2020-08-17T14:36:46Z","2024-07-31T20:25:25Z"
"klezVirus/CandyPotato","Pure C++, weaponized, fully automated implementation of RottenPotatoNG","https://github.com/klezVirus/CandyPotato","C++","307","67","2020-08-21T17:14:30Z","2025-05-01T15:31:06Z"
"klezVirus/CheeseTools","Self-developed tools for Lateral Movement/Code Execution","https://github.com/klezVirus/CheeseTools","C#","706","143","2020-08-24T01:28:12Z","2025-04-17T00:31:33Z"
"rasta-mouse/MiscTools","Miscellaneous Tools","https://github.com/rasta-mouse/MiscTools","C#","266","60","2019-08-29T11:10:51Z","2025-04-17T00:37:56Z"
"klezVirus/inceptor","Template-Driven AV/EDR Evasion Framework","https://github.com/klezVirus/inceptor","Assembly","1680","269","2021-08-02T15:35:57Z","2025-05-17T16:22:59Z"
"rasta-mouse/OffensiveCSharp","Collection of Offensive C# Tooling","https://github.com/rasta-mouse/OffensiveCSharp",,"12","5","2021-11-04T10:09:17Z","2025-01-11T01:10:27Z"
"matterpreter/OffensiveCSharp","Collection of Offensive C# Tooling","https://github.com/matterpreter/OffensiveCSharp","C#","1425","251","2019-02-06T00:32:29Z","2025-05-15T01:53:00Z"
"mattnotmax/cyberchef-recipes","A list of cyber-chef recipes and curated links","https://github.com/mattnotmax/cyberchef-recipes",,"2080","264","2019-01-04T02:38:27Z","2025-05-14T16:24:46Z"
"Orange-Cyberdefense/GOAD","game of active directory","https://github.com/Orange-Cyberdefense/GOAD","PowerShell","6389","887","2021-09-27T08:48:33Z","2025-05-18T02:19:18Z"
"ldsaiyan/EventLogPersist","A Simple Proof Code for Extracting and Executing Shellcode from Event Logs","https://github.com/ldsaiyan/EventLogPersist","C++","27","8","2023-03-01T14:59:47Z","2024-08-12T20:30:03Z"
"DragoQCC/CrucibleC2","A C# Command & Control framework ","https://github.com/DragoQCC/CrucibleC2","C#","1001","128","2022-12-08T19:40:47Z","2025-05-12T13:12:40Z"
"microsoft/CsWin32","A source generator to add a user-defined set of Win32 P/Invoke methods and supporting types to a C# project.","https://github.com/microsoft/CsWin32","C#","2281","102","2020-12-01T18:59:20Z","2025-05-18T08:40:13Z"
"MzHmO/Parasite-Invoke","Hide your P/Invoke signatures through other people's signed assemblies","https://github.com/MzHmO/Parasite-Invoke","C#","211","32","2024-03-07T20:18:42Z","2025-05-14T01:53:51Z"
"arch3rPro/Pentest-Windows","þƒø┬Àþø¥ µ¡ªÕÖ¿Õ║ô - Windows11 Penetration Suite Toolkit õ©Çõ©¬Õ╝Çþ«▒Õì│þö¿þÜäwindowsµ©ùÚÇÅµÁïÞ»òþÄ»Õóâ","https://github.com/arch3rPro/Pentest-Windows",,"2559","244","2022-07-08T02:43:58Z","2025-05-18T09:21:26Z"
"marcurdy/dfir-toolset","Dump of organized knowledge on DFIR","https://github.com/marcurdy/dfir-toolset","Python","134","28","2015-11-21T17:59:21Z","2025-03-25T08:19:25Z"
"PSGumshoe/PSGumshoe",,"https://github.com/PSGumshoe/PSGumshoe","PowerShell","257","49","2016-08-24T22:46:36Z","2025-04-03T08:45:19Z"
"BurntSushi/ripgrep","ripgrep recursively searches directories for a regex pattern while respecting your gitignore","https://github.com/BurntSushi/ripgrep","Rust","52403","2123","2016-03-11T02:02:33Z","2025-05-18T11:33:28Z"
"hackertarget/nmap-did-what","Nmap Dashboard Mini Project","https://github.com/hackertarget/nmap-did-what","Python","586","109","2024-05-20T01:40:02Z","2025-05-16T11:29:41Z"
"mgeeky/RedWarden","Cobalt Strike C2 Reverse proxy that fends off Blue Teams, AVs, EDRs, scanners through packet inspection and malleable profile correlation","https://github.com/mgeeky/RedWarden","Python","968","141","2021-05-15T22:05:39Z","2025-05-18T01:49:10Z"
"Tylous/SourcePoint","SourcePoint is a C2 profile generator for Cobalt Strike command and control servers designed to ensure evasion. ","https://github.com/Tylous/SourcePoint","Go","1126","156","2021-08-06T20:55:26Z","2025-05-17T14:23:15Z"
"AvivShabtay/OffensiveWinAPI","My experience using Windows API for offensive purposes","https://github.com/AvivShabtay/OffensiveWinAPI","C++","17","4","2020-08-02T18:56:20Z","2024-07-13T22:19:52Z"
"zodiacon/AllTools","All reasonably stable tools","https://github.com/zodiacon/AllTools",,"1262","243","2017-10-26T08:00:04Z","2025-05-16T12:50:05Z"
"hfiref0x/WDExtract","Extract Windows Defender database from vdm files and unpack it","https://github.com/hfiref0x/WDExtract","C","440","61","2019-04-19T17:33:48Z","2025-04-17T00:26:55Z"
"3ndG4me/socat","Mirror of the socat source code with pre-built releases for Linux (x64 and x86), Windows (x64 and x86), and MacOS (x64)","https://github.com/3ndG4me/socat","C","251","38","2019-10-13T04:12:16Z","2025-05-08T03:24:32Z"
"Cobalt-Strike/unhook-bof","Remove API hooks from a Beacon process.","https://github.com/Cobalt-Strike/unhook-bof","C","57","16","2021-07-02T14:55:38Z","2025-03-14T23:40:31Z"
"Cobalt-Strike/bof-vs","A Beacon Object File (BOF) template for Visual Studio","https://github.com/Cobalt-Strike/bof-vs","C++","195","26","2023-09-19T07:27:39Z","2025-05-18T09:13:19Z"
"Cobalt-Strike/beacon_health_check","This aggressor script uses a beacon's note field to indicate the health status of a beacon.","https://github.com/Cobalt-Strike/beacon_health_check",,"142","22","2021-07-08T13:28:11Z","2025-04-17T00:30:57Z"
"Cobalt-Strike/sleep_python_bridge","This project is 'bridge' between the sleep and python language. It allows the control of a Cobalt Strike teamserver through python without the need for for the standard GUI client.   NOTE: This project is very much in BETA. The goal is to provide a playground for testing and is in no way an officially support feature. Perhaps this could be something added in the future to the core product.","https://github.com/Cobalt-Strike/sleep_python_bridge","Python","184","32","2021-10-12T18:18:48Z","2025-04-16T05:03:03Z"
"Cobalt-Strike/CallStackMasker","A PoC implementation for dynamically masking call stacks with timers.","https://github.com/Cobalt-Strike/CallStackMasker","C++","274","35","2023-02-02T17:30:12Z","2025-04-24T03:59:15Z"
"rsmudge/unhook-bof","Remove API hooks from a Beacon process.","https://github.com/rsmudge/unhook-bof","C","269","59","2021-01-13T02:20:44Z","2025-05-16T08:18:07Z"
"rsmudge/metasploit-loader","A client compatible with Metasploit's staging protocol","https://github.com/rsmudge/metasploit-loader","C","256","89","2012-09-13T02:56:11Z","2025-05-07T03:41:16Z"
"rsmudge/CVE-2020-0796-BOF",,"https://github.com/rsmudge/CVE-2020-0796-BOF","C","70","20","2020-09-17T01:48:37Z","2025-01-06T01:01:06Z"
"G0ldenGunSec/GetWebDAVStatus","Determine if the WebClient Service (WebDAV) is running on a remote system","https://github.com/G0ldenGunSec/GetWebDAVStatus","C","137","27","2021-09-29T17:31:21Z","2025-04-29T08:12:20Z"
"cube0x0/KrbRelay","Framework for Kerberos relaying ","https://github.com/cube0x0/KrbRelay","C#","912","128","2022-02-14T08:21:57Z","2025-05-17T16:24:08Z"
"xl7dev/WebShell","Webshell && Backdoor Collection","https://github.com/xl7dev/WebShell","PHP","1887","1039","2015-10-16T20:56:15Z","2025-05-11T02:16:48Z"
"SecWiki/WebShell-2","Webshell","https://github.com/SecWiki/WebShell-2","PHP","145","134","2016-12-01T07:43:45Z","2025-05-07T06:24:59Z"
"fatedier/frp","A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.","https://github.com/fatedier/frp","Go","94007","14030","2015-12-21T15:24:59Z","2025-05-18T11:54:18Z"
"JSCU-NL/COATHANGER","IOCs and detection script for COATHANGER malware","https://github.com/JSCU-NL/COATHANGER","Python","54","9","2024-02-06T08:42:18Z","2025-04-11T11:52:21Z"
"j00ru/windows-syscalls","Windows System Call Tables (NT/2000/XP/2003/Vista/7/8/10/11)","https://github.com/j00ru/windows-syscalls","HTML","2321","344","2018-05-31T07:41:52Z","2025-05-18T06:50:29Z"
"thefLink/Hunt-Sleeping-Beacons","Aims to identify sleeping beacons","https://github.com/thefLink/Hunt-Sleeping-Beacons","C","590","55","2022-01-07T17:03:44Z","2025-05-17T22:06:23Z"
"theY4Kman/suricata-prettifier","Command-line tool to format and syntax highlight Suricata rules","https://github.com/theY4Kman/suricata-prettifier","Python","13","2","2018-06-03T04:07:29Z","2024-06-24T11:20:17Z"
"zam89/suricatalogparser","A simple log parser for Suricata log file (JSON)","https://github.com/zam89/suricatalogparser","PHP","8","1","2016-06-14T15:57:08Z","2024-06-04T23:04:44Z"
"josevnz/SuricataLog","SuricataLog is a set of tools/ scripts to parse and display Suricata log files (like /var/log/suricata/eve.json)","https://github.com/josevnz/SuricataLog","Python","23","3","2022-04-17T15:35:41Z","2025-04-20T21:45:58Z"
"hasherezade/pe_to_shellcode","Converts PE into a shellcode","https://github.com/hasherezade/pe_to_shellcode","C++","2538","452","2018-08-19T22:57:07Z","2025-05-15T08:03:33Z"
"hasherezade/transacted_hollowing","Transacted Hollowing - a PE injection technique, hybrid between ProcessHollowing and ProcessDoppelg├ñnging","https://github.com/hasherezade/transacted_hollowing","C","547","82","2021-06-05T13:39:51Z","2025-05-13T13:20:28Z"
"jxy-s/herpaderping","Process Herpaderping proof of concept, tool, and technical deep dive. Process Herpaderping bypasses security products by obscuring the intentions of a process.","https://github.com/jxy-s/herpaderping","C++","1136","220","2020-07-08T19:26:16Z","2025-05-17T14:47:38Z"
"Hagrid29/herpaderply_hollowing","Herpaderply Hollowing - a PE injection technique, hybrid between Process Hollowing and Process Herpaderping","https://github.com/Hagrid29/herpaderply_hollowing","C","56","14","2022-10-07T19:12:31Z","2025-05-05T09:15:41Z"
"mattifestation/WDACTools","A PowerShell module to facilitate building, configuring, deploying, and auditing Windows Defender Application Control (WDAC) policies","https://github.com/mattifestation/WDACTools","PowerShell","215","37","2020-02-08T15:07:53Z","2025-04-29T06:10:29Z"
"thomaspatzke/elk-detection-lab","An ELK environment containing interesting security datasets.","https://github.com/thomaspatzke/elk-detection-lab","Shell","137","23","2020-01-03T23:15:34Z","2025-05-07T20:25:44Z"
"commial/experiments","Expriments","https://github.com/commial/experiments","Python","456","80","2020-02-14T14:31:59Z","2025-05-16T18:27:38Z"
"marcosValle/awesome-windows-red-team"," A curated list of awesome Windows frameworks, libraries, software and resources for Red Teams","https://github.com/marcosValle/awesome-windows-red-team",,"578","105","2018-09-23T14:21:34Z","2025-05-16T01:51:50Z"
"CyberSecurityUP/Windows-API-for-Red-Team",,"https://github.com/CyberSecurityUP/Windows-API-for-Red-Team","Python","70","24","2023-09-24T23:18:18Z","2025-05-04T04:55:58Z"
"theintercept/sidtoday","Snowden Archive: The SIDtoday Files","https://github.com/theintercept/sidtoday",,"405","50","2016-05-12T19:43:20Z","2025-04-18T09:46:50Z"
"iamcryptoki/snowden-archive","­ƒÆÑ A collection of all documents leaked by former NSA contractor and whistleblower Edward Snowden.","https://github.com/iamcryptoki/snowden-archive",,"1167","169","2017-01-21T22:15:48Z","2025-05-17T16:25:12Z"
"center-for-threat-informed-defense/attack-workbench-frontend","An application allowing users to explore, create, annotate, and share extensions of the MITRE ATT&CK┬« knowledge base. This repository contains an Angular-based web application providing the user interface for the ATT&CK Workbench application.","https://github.com/center-for-threat-informed-defense/attack-workbench-frontend","TypeScript","356","63","2020-02-21T13:38:29Z","2025-05-17T15:06:36Z"
"mitre-attack/attack-navigator","Web app that provides basic navigation and annotation of ATT&CK matrices","https://github.com/mitre-attack/attack-navigator","TypeScript","2138","625","2018-02-26T18:29:21Z","2025-05-18T01:56:10Z"
"FalconForceTeam/FalconHound","FalconHound is a blue team multi-tool. It allows you to utilize and enhance the power of BloodHound in a more automated fashion. It is designed to be used in conjunction with a SIEM or other log aggregation tool. ","https://github.com/FalconForceTeam/FalconHound","Go","798","54","2023-10-16T18:28:08Z","2025-05-17T13:34:41Z"
"FalconForceTeam/KQLAnalyzer","REST server that can analyze Kusto KQL queries against the Sentinel and Microsoft 365 Defender schemas.","https://github.com/FalconForceTeam/KQLAnalyzer","C#","33","13","2023-03-07T10:07:21Z","2025-05-12T20:34:01Z"
"FalconForceTeam/FalconFriday","Hunting queries and detections","https://github.com/FalconForceTeam/FalconFriday",,"800","97","2020-08-04T10:25:37Z","2025-05-15T07:04:54Z"
"decalage2/ViperMonkey","A VBA parser and emulation engine to analyze malicious macros.","https://github.com/decalage2/ViperMonkey","Python","1092","186","2016-09-25T19:27:22Z","2025-05-13T17:23:54Z"
"BankSecurity/Threat_Hunting","Some Threat Hunting queries useful for blue teamers","https://github.com/BankSecurity/Threat_Hunting",,"126","24","2022-05-07T13:23:47Z","2025-05-10T21:44:49Z"
"jthuraisamy/TelemetrySourcerer","Enumerate and disable common sources of telemetry used by AV/EDR.","https://github.com/jthuraisamy/TelemetrySourcerer","C++","796","128","2020-07-30T00:01:03Z","2025-05-16T18:41:33Z"
"WiredPulse/PoSh-R2_GUI","GUI version of PoSh-R2","https://github.com/WiredPulse/PoSh-R2_GUI","PowerShell","10","3","2017-04-03T12:01:32Z","2024-09-12T10:47:22Z"
"microsoft/ReverseDSC","Utility Library that Handles the Extraction of a DSC configuration script from an existing environment","https://github.com/microsoft/ReverseDSC","PowerShell","146","47","2017-08-23T14:52:21Z","2025-05-07T11:47:13Z"
"mvelazc0/BadZure","BadZure orchestrates the setup of Azure AD tenants, populating them with diverse entities while also introducing common security misconfigurations to create vulnerable tenants with multiple attack paths.","https://github.com/mvelazc0/BadZure","Python","457","28","2023-05-05T04:52:21Z","2025-05-13T23:45:42Z"
"eshlomo1/Microsoft-Sentinel-SecOps","Microsoft Sentinel SOC Operations","https://github.com/eshlomo1/Microsoft-Sentinel-SecOps","PowerShell","254","66","2020-02-27T10:42:46Z","2025-05-14T01:52:57Z"
"RoqueNight/DefenderATP-Proactive-Threat-Hunting-Queries-KQL","List of custom developed KQL queries to help proactive security teams hunt for opportunistic and sophisticated threat activity by developing custom TTP'S from red-teaming engagements & simulations with the strategic goal to prevent threats before they have the opportunity to execute ","https://github.com/RoqueNight/DefenderATP-Proactive-Threat-Hunting-Queries-KQL",,"26","4","2021-05-22T18:30:08Z","2025-04-04T03:34:37Z"
"XForceIR/SideLoadHunter",,"https://github.com/XForceIR/SideLoadHunter",,"25","5","2022-02-11T15:23:28Z","2025-02-03T02:33:54Z"
"forensicanalysis/artifactcollector","­ƒº¡ The artifactcollector is a customizable agent to collect forensic artifacts on any Windows, macOS or Linux system","https://github.com/forensicanalysis/artifactcollector","Go","287","23","2020-01-03T15:16:28Z","2025-05-14T13:34:16Z"
"mitre/emb3d",,"https://github.com/mitre/emb3d","HTML","28","9","2024-03-20T19:58:40Z","2025-05-08T14:54:29Z"
"LearningKijo/KQL","Threat Hunting query in Microsoft 365 Defender, XDR. Provide out-of-the-box KQL hunting queries - App, Email, Identity and Endpoint.","https://github.com/LearningKijo/KQL",,"468","83","2022-12-12T05:23:03Z","2025-05-16T15:35:02Z"
"waf/CSharpRepl","A command line C# REPL with syntax highlighting ÔÇô explore the language, libraries and nuget packages interactively.","https://github.com/waf/CSharpRepl","C#","3100","115","2021-04-03T12:52:25Z","2025-05-18T01:18:53Z"
"microsoft/Windows-driver-samples","This repo contains driver samples prepared for use with Microsoft Visual Studio and the Windows Driver Kit (WDK). It contains both Universal Windows Driver and desktop-only driver samples.","https://github.com/microsoft/Windows-driver-samples","C","7303","4982","2015-03-06T22:16:09Z","2025-05-17T16:14:31Z"
"microsoft/Windows-classic-samples","This repo contains samples that demonstrate the API used in Windows classic desktop applications.","https://github.com/microsoft/Windows-classic-samples",,"5316","3280","2015-09-08T15:45:22Z","2025-05-17T16:15:00Z"
"cisagov/parsnip",,"https://github.com/cisagov/parsnip","Python","71","13","2024-01-03T19:42:44Z","2025-04-04T03:54:45Z"
