repo_full_name,repo_url,description,stars,list_name
rip1s/CVE-2017-11882,https://github.com/rip1s/CVE-2017-11882,CVE-2017-11882 Exploit accepts over 17k bytes long command/code in maximum.,329,Exploits
bhdresh/CVE-2017-8759,https://github.com/bhdresh/CVE-2017-8759,Exploit toolkit CVE-2017-8759 - v1.0 is a handy python script which provides pentesters and security researchers a quick and effective way to test Microsoft .NET Framework RCE. It could generate a malicious RTF file and deliver metasploit / meterpreter / other payload to victim without any complex configuration.,317,Exploits
rxwx/CVE-2017-8570,https://github.com/rxwx/CVE-2017-8570,Proof of Concept exploit for CVE-2017-8570,186,Exploits
vlad902/hacking-team-windows-kernel-lpe,https://github.com/vlad902/hacking-team-windows-kernel-lpe,"Previously-0day exploit from the Hacking Team leak, written by Eugene Ching/Qavar.",199,Exploits
JohnHammond/CVE-2021-34527,https://github.com/JohnHammond/CVE-2021-34527,,280,Exploits
kozmic/laravel-poc-CVE-2018-15133,https://github.com/kozmic/laravel-poc-CVE-2018-15133,PoC for CVE-2018-15133 (Laravel unserialize vulnerability),251,Exploits
SecuraBV/CVE-2020-1472,https://github.com/SecuraBV/CVE-2020-1472,Test tool for CVE-2020-1472,1767,Exploits
offensive-security/exploitdb-bin-sploits,https://github.com/offensive-security/exploitdb-bin-sploits,The legacy Exploit Database repository - New repo located at https://gitlab.com/exploit-database/exploitdb-bin-sploits,1789,Exploits
SecWiki/linux-kernel-exploits,https://github.com/SecWiki/linux-kernel-exploits,linux-kernel-exploits Linux平台提权漏洞集合,5418,Exploits
cowbe0x004/eximrce-CVE-2019-10149,https://github.com/cowbe0x004/eximrce-CVE-2019-10149,simple python socket connection to test if exim is vulnerable to CVE-2019-10149. The payload simply touch a file in /tmp/eximrce.,13,Exploits
firefart/dirtycow,https://github.com/firefart/dirtycow,Dirty Cow exploit - CVE-2016-5195,888,Exploits
dirtycow/dirtycow.github.io,https://github.com/dirtycow/dirtycow.github.io,Dirty COW,3384,Exploits
S3cr3ts666/exploit-database,https://github.com/S3cr3ts666/exploit-database,The official Exploit Database repository,2,Exploits
newaetech/chipwhisperer,https://github.com/newaetech/chipwhisperer,ChipWhisperer - the complete open-source toolchain for side-channel power analysis and glitching attacks,1215,Hardware Attacks
ufrisk/pcileech,https://github.com/ufrisk/pcileech,Direct Memory Access (DMA) Attack Software,5641,Hardware Attacks
NSAPlayset/TWILIGHTVEGETABLE,https://github.com/NSAPlayset/TWILIGHTVEGETABLE,Airprobe for frequency hopping GSM channels,28,Hardware Attacks
NSAPlayset/CHUCKWAGON,https://github.com/NSAPlayset/CHUCKWAGON,,14,Hardware Attacks
NSAPlayset/SAVIORBURST,https://github.com/NSAPlayset/SAVIORBURST,SAVIORBURST,21,Hardware Attacks
NSAPlayset/SLOTSCREAMER,https://github.com/NSAPlayset/SLOTSCREAMER,,80,Hardware Attacks
al1ce23/NSA-Playset,https://github.com/al1ce23/NSA-Playset,Mirror of the NSA Playset Project,40,Hardware Attacks
i-am-shodan/USBArmyKnife,https://github.com/i-am-shodan/USBArmyKnife,USB Army Knife – the ultimate close access tool for penetration testers and red teamers.,1507,Hardware Attacks
hak5/bashbunny-payloads,https://github.com/hak5/bashbunny-payloads,The Official Bash Bunny Payload Repository,2765,Hardware Attacks
whid-injector/WHID,https://github.com/whid-injector/WHID,WiFi HID Injector - An USB Rubberducky / BadUSB On Steroids.,1716,Hardware Attacks
samyk/poisontap,https://github.com/samyk/poisontap,"Exploits locked/password protected computers over USB, drops persistent WebSocket-based backdoor, exposes internal router, and siphons cookies using Raspberry Pi Zero & Node.js.",6347,Hardware Attacks
ebursztein/malusb,https://github.com/ebursztein/malusb,Malicious USB,171,Hardware Attacks
RoganDawes/P4wnP1,https://github.com/RoganDawes/P4wnP1,"P4wnP1 is a highly customizable USB attack platform, based on a low cost Raspberry Pi Zero or Raspberry Pi Zero W.",4190,Hardware Attacks
secgroundzero/warberry,https://github.com/secgroundzero/warberry,WarBerryPi - Tactical Exploitation,2222,Hardware Attacks
samyk/magspoof,https://github.com/samyk/magspoof,"A portable device that can spoof/emulate any magnetic stripe, credit card or hotel card ""wirelessly"", even on standard magstripe (non-NFC/RFID) readers. It can disable Chip&PIN and predict AMEX card numbers with 100% accuracy.",4010,Hardware Attacks
djhohnstein/WireTap,https://github.com/djhohnstein/WireTap,".NET 4.0 Project to interact with video, audio and keyboard hardware.",216,Hardware Attacks
hak5/usbrubberducky-payloads,https://github.com/hak5/usbrubberducky-payloads,The Official USB Rubber Ducky Payload Repository,4771,Hardware Attacks
screetsec/Brutal,https://github.com/screetsec/Brutal,"Payload for teensy like a rubber ducky but the syntax is different. this Human interfaes device ( HID attacks ). Penetration With Teensy  . Brutal is a toolkit to quickly create various payload,powershell attack , virus attack and launch listener for a Human Interface Device ( Payload Teensy )",1161,Hardware Attacks
carmaa/inception,https://github.com/carmaa/inception,"Inception is a physical memory manipulation and hacking tool exploiting PCI-based DMA. The tool can attack over FireWire, Thunderbolt, ExpressCard, PC Card and any other PCI/PCIe interfaces.",1587,Hardware Attacks
insecurityofthings/jackit,https://github.com/insecurityofthings/jackit,JackIt - Exploit Code for Mousejack,845,Hardware Attacks
thimbleweed/All-In-USB,https://github.com/thimbleweed/All-In-USB,,145,Hardware Attacks
samratashok/Kautilya,https://github.com/samratashok/Kautilya,Kautilya - Tool for easy use of Human Interface Devices for offensive security and penetration testing.,861,Hardware Attacks
noraj/haiti,https://github.com/noraj/haiti,:key: Hash type identifier (CLI & lib),868,Hash Identifiers
google/hashr,https://github.com/google/hashr,,116,Hash Identifiers
bee-san/Name-That-Hash,https://github.com/bee-san/Name-That-Hash,"🔗  Don't know what type of hash it is? Name That Hash will name that hash type! 🤖 Identify MD5, SHA256 and 300+ other hashes ☄ Comes with a neat web app 🔥",1554,Hash Identifiers
ForensicArtifacts/artifacts,https://github.com/ForensicArtifacts/artifacts,Digital Forensics artifact repository,1112,Host Forensics
pstirparo/mac4n6,https://github.com/pstirparo/mac4n6,Collection of forensics artifacts location for Mac OS X and iOS,329,Host Forensics
mvt-project/mvt,https://github.com/mvt-project/mvt,MVT (Mobile Verification Toolkit) helps with conducting forensics of mobile devices in order to find signs of a potential compromise.,11189,Host Forensics
olafhartong/DefenderHarvester,https://github.com/olafhartong/DefenderHarvester,Expose a lot of MDE telemetry that is not easily accessible in any searchable form,106,Host Forensics
objective-see/DumpBTM,https://github.com/objective-see/DumpBTM,And open-source version of % sfltool dumpbtm,129,Host Forensics
intezer/linux-explorer,https://github.com/intezer/linux-explorer,Easy-to-use live forensics toolbox for Linux endpoints,406,Host Forensics
fireeye/BitsParser,https://github.com/fireeye/BitsParser,,148,Host Forensics
M00NLIG7/ChopChopGo,https://github.com/M00NLIG7/ChopChopGo,Rapidly Search and Hunt through Linux Forensics Artifacts,190,Host Forensics
joeavanzato/Trawler,https://github.com/joeavanzato/Trawler,PowerShell script helping Incident Responders discover potential adversary persistence mechanisms.,316,Host Forensics
GerbenJavado/LinkFinder,https://github.com/GerbenJavado/LinkFinder,A python script that finds endpoints in JavaScript files,3951,Host Forensics
MHaggis/PowerShell-Hunter,https://github.com/MHaggis/PowerShell-Hunter,"PowerShell tools to help defenders hunt smarter, hunt harder.",375,Host Forensics
DissectMalware/XLMMacroDeobfuscator,https://github.com/DissectMalware/XLMMacroDeobfuscator,Extract and Deobfuscate XLM macros (a.k.a Excel 4.0 Macros),578,Host Forensics
techspence/ScriptSentry,https://github.com/techspence/ScriptSentry,ScriptSentry finds misconfigured and dangerous logon scripts.,531,Host Forensics
nsacyber/BAM,https://github.com/nsacyber/BAM,The Binary Analysis Metadata tool gathers information about Windows binaries to aid in their analysis. #nsacyber,159,Host Forensics
yampelo/samparser,https://github.com/yampelo/samparser,A python script used to parse the SAM registry hive. ,72,Host Forensics
Invoke-IR/PowerForensicsPortable,https://github.com/Invoke-IR/PowerForensicsPortable,,32,Host Forensics
subat0mik/Misconfiguration-Manager,https://github.com/subat0mik/Misconfiguration-Manager,Misconfiguration Manager is a central knowledge base for all known Microsoft Configuration Manager tradecraft and associated defensive and hardening guidance.,922,Host Forensics
travisfoley/dfirtriage,https://github.com/travisfoley/dfirtriage,Digital forensic acquisition tool for Windows based incident response.,341,Host Forensics
DFIR-ORC/dfir-orc,https://github.com/DFIR-ORC/dfir-orc,Forensics artefact collection tool for systems running Microsoft Windows ,414,Host Forensics
ANSSI-FR/DFIR-O365RC,https://github.com/ANSSI-FR/DFIR-O365RC,PowerShell module for Office 365 and Azure log collection,266,Host Forensics
ANSSI-FR/DFIR4vSphere,https://github.com/ANSSI-FR/DFIR4vSphere,Powershell module for VMWare vSphere forensics,150,Host Forensics
cudeso/dfir-iris-misp-timesketch,https://github.com/cudeso/dfir-iris-misp-timesketch,"Scripts to integrate DFIR-IRIS, MISP and TimeSketch",34,Host Forensics
THEVER1TAS/sysmon-config,https://github.com/THEVER1TAS/sysmon-config,Sysmon configuration file templates with advanced event tracing and blocking,40,Host Forensics
PwC-IR/Office-365-Extractor,https://github.com/PwC-IR/Office-365-Extractor,The Office 365 Extractor is a tool that allows for complete and reliable extraction of the Unified Audit Log (UAL),263,Host Forensics
WithSecureLabs/LinuxCatScale,https://github.com/WithSecureLabs/LinuxCatScale,Incident Response collection and processing scripts with automated reporting scripts,300,Host Forensics
mozilla/mig,https://github.com/mozilla/mig,Distributed & real time digital forensics at the speed of the cloud,1202,Host Forensics
invictus-ir/Microsoft-Extractor-Suite,https://github.com/invictus-ir/Microsoft-Extractor-Suite,A PowerShell module for acquisition of data from Microsoft 365 and Azure for Incident Response and Cyber Security purposes.,626,Host Forensics
mf1d3l/Splunk4DFIR,https://github.com/mf1d3l/Splunk4DFIR,Harness the power of Splunk for your investigations,105,Host Forensics
NVISOsecurity/evtx-hunter,https://github.com/NVISOsecurity/evtx-hunter,evtx-hunter helps to quickly spot interesting security-related activity in Windows Event Viewer (EVTX) files.,153,Host Forensics
ydkhatri/mac_apt,https://github.com/ydkhatri/mac_apt,macOS (& ios) Artifact Parsing Tool,850,Host Forensics
TazWake/Public,https://github.com/TazWake/Public,Collection of scripts provided for public use,34,Host Forensics
Boran/lusas,https://github.com/Boran/lusas,Linux/Unix Security Auditing Scripts: Lusas,23,Host Forensics
sokdr/LinuxAudit,https://github.com/sokdr/LinuxAudit,Security Audit Bash Script for Linux Systems,47,Host Forensics
Yamato-Security/RustyBlue,https://github.com/Yamato-Security/RustyBlue,"RustyBlue is a rust implementation of DeepblueCLI, a forensics log analyzer for finding evidence of compromise from windows event logs.",72,Host Forensics
carbonblack/tau-tools,https://github.com/carbonblack/tau-tools,A repo containing tools developed by Carbon Black's Threat Research Team: Threat Analysis Unit,234,Host Forensics
awslabs/aws-security-automation,https://github.com/awslabs/aws-security-automation,Collection of scripts and resources for DevSecOps and Automated Incident Response Security,627,Host Forensics
mnrkbys/vss_carver,https://github.com/mnrkbys/vss_carver,Carves and recreates VSS catalog and store from Windows disk image.,98,Host Forensics
tesorion/TCERT-Cumulonimbus-UAL_Extractor,https://github.com/tesorion/TCERT-Cumulonimbus-UAL_Extractor,Cumulonimbus-UAL_Extractor is a PowerShell based tool created by the Tesorion CERT team to help gather the Unified Audit Logging out of a Microsoft 365 environment.,19,Host Forensics
docker-forensics-toolkit/toolkit,https://github.com/docker-forensics-toolkit/toolkit,A toolkit for the post-mortem examination of Docker containers from forensic HDD copies,99,Host Forensics
wagoodman/dive,https://github.com/wagoodman/dive,A tool for exploring each layer in a docker image,50736,Host Forensics
mrhavens/Dedockify,https://github.com/mrhavens/Dedockify,Reverse engineer Docker images into Dockerfiles.,273,Host Forensics
tclahr/uac,https://github.com/tclahr/uac,"UAC is a powerful and extensible incident response tool designed for forensic investigators, security analysts, and IT professionals. It automates the collection of artifacts from a wide range of Unix-like systems, including AIX, ESXi, FreeBSD, Linux, macOS, NetBSD, NetScaler, OpenBSD and Solaris.",967,Host Forensics
gktrk/ext4magic,https://github.com/gktrk/ext4magic,Unofficial ext4magic repository,22,Host Forensics
blueteam0ps/AllthingsTimesketch,https://github.com/blueteam0ps/AllthingsTimesketch,This repository contains helper scripts and custom configs to get the best out of Google's Timesketch project.,109,Host Forensics
DFIR-Drew/OCR-Bitmap-Cache,https://github.com/DFIR-Drew/OCR-Bitmap-Cache,,9,Host Forensics
AirbusProtect/AD-Canaries,https://github.com/AirbusProtect/AD-Canaries,The purpose of this project is to publish and maintain the deployment PowerShell script that automates deployments for Active Directory Canary objects.,250,Host Forensics
adamdriscoll/PoshInternals,https://github.com/adamdriscoll/PoshInternals,A pure script-based PowerShell module that provides deep system analysis and configuration.,195,Host Forensics
hfiref0x/WinObjEx64,https://github.com/hfiref0x/WinObjEx64,Windows Object Explorer 64-bit,1747,Host Forensics
trustedsec/defensive-scripts,https://github.com/trustedsec/defensive-scripts,,46,Host Forensics
kacos2000/WindowsTimeline,https://github.com/kacos2000/WindowsTimeline,"Windows 10 (v1803+) ActivitiesCache.db parsers (SQLite, PowerShell, .EXE)",189,Host Forensics
PSGumshoe/PSGumshoe,https://github.com/PSGumshoe/PSGumshoe,,257,Host Forensics
hfiref0x/WDExtract,https://github.com/hfiref0x/WDExtract,Extract Windows Defender database from vdm files and unpack it,440,Host Forensics
JSCU-NL/COATHANGER,https://github.com/JSCU-NL/COATHANGER,IOCs and detection script for COATHANGER malware,54,Host Forensics
mattifestation/WDACTools,https://github.com/mattifestation/WDACTools,"A PowerShell module to facilitate building, configuring, deploying, and auditing Windows Defender Application Control (WDAC) policies",215,Host Forensics
FalconForceTeam/FalconHound,https://github.com/FalconForceTeam/FalconHound,FalconHound is a blue team multi-tool. It allows you to utilize and enhance the power of BloodHound in a more automated fashion. It is designed to be used in conjunction with a SIEM or other log aggregation tool. ,798,Host Forensics
decalage2/ViperMonkey,https://github.com/decalage2/ViperMonkey,A VBA parser and emulation engine to analyze malicious macros.,1092,Host Forensics
microsoft/ReverseDSC,https://github.com/microsoft/ReverseDSC,Utility Library that Handles the Extraction of a DSC configuration script from an existing environment,146,Host Forensics
XForceIR/SideLoadHunter,https://github.com/XForceIR/SideLoadHunter,,25,Host Forensics
forensicanalysis/artifactcollector,https://github.com/forensicanalysis/artifactcollector,"🧭 The artifactcollector is a customizable agent to collect forensic artifacts on any Windows, macOS or Linux system",287,Host Forensics
mrwadams/attackgen,https://github.com/mrwadams/attackgen,AttackGen is a cybersecurity incident response testing tool that leverages the power of large language models and the comprehensive MITRE ATT&CK framework. The tool generates tailored incident response scenarios based on user-selected threat actor groups and your organisation's details.,1153,Host Forensics
wagga40/Zircolite,https://github.com/wagga40/Zircolite,"A standalone SIGMA-based detection tool for EVTX, Auditd and Sysmon for Linux logs",712,Host Forensics
mgreen27/Invoke-LiveResponse,https://github.com/mgreen27/Invoke-LiveResponse,Invoke-LiveResponse,147,Host Forensics
Velocidex/pyvelociraptor,https://github.com/Velocidex/pyvelociraptor,PyVelociraptor contains the python bindings for the Velociraptor API.,17,Host Forensics
Jrotenberger/Powershell-IR-Scripts,https://github.com/Jrotenberger/Powershell-IR-Scripts,,39,Host Forensics
googleprojectzero/sandbox-attacksurface-analysis-tools,https://github.com/googleprojectzero/sandbox-attacksurface-analysis-tools,Set of tools to analyze Windows sandboxes for exposed attack surface.,2157,Host Forensics
vinaypamnani/wmie2,https://github.com/vinaypamnani/wmie2,,792,Host Forensics
nsacyber/Windows-Event-Log-Messages,https://github.com/nsacyber/Windows-Event-Log-Messages,Retrieves the definitions of Windows Event Log messages embedded in Windows binaries and provides them in discoverable formats. #nsacyber,402,Host Forensics
Velocidex/evtx,https://github.com/Velocidex/evtx,Golang Parser for Microsoft Event Logs,102,Host Forensics
Velocidex/evtx-data,https://github.com/Velocidex/evtx-data,Publicly shareable windows event log message data,27,Host Forensics
jklepsercyber/defender-detectionhistory-parser,https://github.com/jklepsercyber/defender-detectionhistory-parser,"A parser of Windows Defender's DetectionHistory forensic artifact, containing substantial info about quarantined files and executables.",113,Host Forensics
eduardomcm/VelociraptorCompetition,https://github.com/eduardomcm/VelociraptorCompetition,,11,Host Forensics
tobor88/PowerShell-Blue-Team,https://github.com/tobor88/PowerShell-Blue-Team,Collection of PowerShell functinos and scripts a Blue Teamer might use,84,Host Forensics
matthewdunwoody/block-parser,https://github.com/matthewdunwoody/block-parser,Parser for Windows PowerShell script block logs,95,Host Forensics
WithSecureLabs/chainsaw,https://github.com/WithSecureLabs/chainsaw,Rapidly Search and Hunt through Windows Forensic Artefacts,3146,Host Forensics
dwmetz/CyberPipe,https://github.com/dwmetz/CyberPipe,An easy to use PowerShell script to collect memory and disk forensics for DFIR investigations.,287,Host Forensics
MagnetForensics/Magnet-RESPONSE-PowerShell,https://github.com/MagnetForensics/Magnet-RESPONSE-PowerShell,PowerShell scripts for running Magnet RESPONSE forensic collection tool in large enterprises.,24,Host Forensics
microsoft/ProcMon-for-Linux,https://github.com/microsoft/ProcMon-for-Linux,A Linux version of the Procmon Sysinternals tool,4166,Host Forensics
zdhenard42/SOC-Multitool,https://github.com/zdhenard42/SOC-Multitool,A powerful and user-friendly browser extension that streamlines investigations for security professionals.,386,Host Forensics
cristianzsh/forensictools,https://github.com/cristianzsh/forensictools,Collection of forensic tools,629,Host Forensics
mandiant/SilkETW,https://github.com/mandiant/SilkETW,,766,Host Forensics
Sentinel-One/CobaltStrikeParser,https://github.com/Sentinel-One/CobaltStrikeParser,,1055,Host Forensics
MalwareArchaeology/ARTHIR,https://github.com/MalwareArchaeology/ARTHIR,ATT&CK Remote Threat Hunting Incident Response,200,Host Forensics
nov3mb3r/trident,https://github.com/nov3mb3r/trident,A PowerShell incident response script for quick triage,80,Host Forensics
TonyPhipps/Meerkat,https://github.com/TonyPhipps/Meerkat,A collection of PowerShell modules designed for artifact gathering and reconnaisance of Windows-based endpoints.,457,Host Forensics
last-byte/PersistenceSniper,https://github.com/last-byte/PersistenceSniper,"Powershell module that can be used by Blue Teams, Incident Responders and System Administrators to hunt persistences implanted in Windows machines. Official Twitter/X account @PersistSniper. Made with ❤️ by @last0x00 and @dottor_morte",1988,Host Forensics
JPCERTCC/SysmonSearch,https://github.com/JPCERTCC/SysmonSearch,Investigate suspicious activity by visualizing Sysmon's event log,421,Host Forensics
williballenthin/EVTXtract,https://github.com/williballenthin/EVTXtract,"EVTXtract recovers and reconstructs fragments of EVTX log files from raw binary data, including unallocated space and memory images.",192,Host Forensics
ArsenalRecon/Arsenal-Image-Mounter,https://github.com/ArsenalRecon/Arsenal-Image-Mounter,Arsenal Image Mounter mounts the contents of disk images as complete disks in Microsoft Windows.,601,Host Forensics
TryCatchHCF/DumpsterFire,https://github.com/TryCatchHCF/DumpsterFire,"""Security Incidents In A Box!""   A modular, menu-driven, cross-platform tool for building customized, time-delayed, distributed security events. Easily create custom event chains for Blue- & Red Team drills and sensor / alert mapping. Red Teams can create decoy incidents, distractions, and lures to support and scale their operations. Build event sequences (""narratives"") to simulate realistic scenarios and generate corresponding network and filesystem artifacts.",1013,Host Forensics
google/timesketch,https://github.com/google/timesketch,Collaborative forensic timeline analysis,2750,Host Forensics
log2timeline/dfvfs,https://github.com/log2timeline/dfvfs,Digital Forensics Virtual File System (dfVFS),207,Host Forensics
mandiant/sunburst_countermeasures,https://github.com/mandiant/sunburst_countermeasures,,560,Host Forensics
WiredPulse/PowerShell,https://github.com/WiredPulse/PowerShell,A series of scripts,98,Host Forensics
simsong/bulk_extractor,https://github.com/simsong/bulk_extractor,This is the development tree. Production downloads are at:,1209,Host Forensics
jschicht/UsnJrnl2Csv,https://github.com/jschicht/UsnJrnl2Csv,Parser for $UsnJrnl on NTFS,110,Host Forensics
jschicht/ExtractUsnJrnl,https://github.com/jschicht/ExtractUsnJrnl,Tool to extract the $UsnJrnl from an NTFS volume,106,Host Forensics
jschicht/LogFileParser,https://github.com/jschicht/LogFileParser,Parser for $LogFile on NTFS,194,Host Forensics
jschicht/RawCopy,https://github.com/jschicht/RawCopy,Commandline low level file extractor for NTFS,286,Host Forensics
jschicht/Mft2Csv,https://github.com/jschicht/Mft2Csv,Extract $MFT record info and log it to a csv file.,270,Host Forensics
jschicht/Indx2Csv,https://github.com/jschicht/Indx2Csv,An advanced  parser for INDX records,27,Host Forensics
williballenthin/INDXParse,https://github.com/williballenthin/INDXParse,Tool suite for inspecting NTFS artifacts.,221,Host Forensics
libyal/libvshadow,https://github.com/libyal/libvshadow,Library and tools to access the Volume Shadow Snapshot (VSS) format,111,Host Forensics
log2timeline/plaso,https://github.com/log2timeline/plaso,Super timeline all the things,1842,Host Forensics
EricZimmerman/MFTECmd,https://github.com/EricZimmerman/MFTECmd,Parses $MFT from NTFS file systems,238,Host Forensics
matonis/page_brute,https://github.com/matonis/page_brute,Page File analysis tools.,127,Host Forensics
orlikoski/CyLR,https://github.com/orlikoski/CyLR,CyLR - Live Response Collection Tool,677,Host Forensics
ANSSI-FR/ADTimeline,https://github.com/ANSSI-FR/ADTimeline,Timeline of Active Directory changes with replication metadata,500,Host Forensics
ANSSI-FR/bmc-tools,https://github.com/ANSSI-FR/bmc-tools,RDP Bitmap Cache parser,533,Host Forensics
mandiant/Mandiant-Azure-AD-Investigator,https://github.com/mandiant/Mandiant-Azure-AD-Investigator,,626,Host Forensics
mbevilacqua/appcompatprocessor,https://github.com/mbevilacqua/appcompatprocessor,"""Evolving AppCompat/AmCache data analysis beyond grep""",203,Host Forensics
EricZimmerman/AmcacheParser,https://github.com/EricZimmerman/AmcacheParser,"Parses amcache.hve files, but with a twist!",133,Host Forensics
EricZimmerman/Prefetch,https://github.com/EricZimmerman/Prefetch,Windows Prefetch parser. Supports all known versions from Windows XP to Windows 10.,113,Host Forensics
EricZimmerman/RECmd,https://github.com/EricZimmerman/RECmd,Command line access to the Registry,146,Host Forensics
EricZimmerman/LECmd,https://github.com/EricZimmerman/LECmd,Lnk Explorer Command line edition!!,304,Host Forensics
EricZimmerman/evtx,https://github.com/EricZimmerman/evtx,C# based evtx parser with lots of extras,307,Host Forensics
EricZimmerman/Registry,https://github.com/EricZimmerman/Registry,"Full featured, offline Registry parser in C#",229,Host Forensics
mandiant/ShimCacheParser,https://github.com/mandiant/ShimCacheParser,,276,Host Forensics
EricZimmerman/AppCompatCacheParser,https://github.com/EricZimmerman/AppCompatCacheParser,"AppCompatCache (shimcache) parser. Supports Windows 7 (x86 and x64), Windows 8.x, and Windows 10",117,Host Forensics
EricZimmerman/PECmd,https://github.com/EricZimmerman/PECmd,Prefetch Explorer Command Line,254,Host Forensics
EricZimmerman/Get-ZimmermanTools,https://github.com/EricZimmerman/Get-ZimmermanTools,Get all my software,156,Host Forensics
EricZimmerman/ericzimmerman.github.io,https://github.com/EricZimmerman/ericzimmerman.github.io,Software downloads,100,Host Forensics
EricZimmerman/KapeFiles,https://github.com/EricZimmerman/KapeFiles,This repository serves as a place for community created Targets and Modules for use with KAPE. ,729,Host Forensics
WiredPulse/PoSh-R2,https://github.com/WiredPulse/PoSh-R2,PowerShell - Rapid Response... For the incident responder in you!,299,Host Forensics
crits/crits_services,https://github.com/crits/crits_services,CRITs Services Collection,184,Host Forensics
crits/crits,https://github.com/crits/crits,CRITs - Collaborative Research Into Threats,901,Host Forensics
Invoke-IR/ForensicPosters,https://github.com/Invoke-IR/ForensicPosters,,446,Host Forensics
Invoke-IR/ACE,https://github.com/Invoke-IR/ACE,"Automated, Collection, and Enrichment Platform",325,Host Forensics
Invoke-IR/PowerForensics,https://github.com/Invoke-IR/PowerForensics,PowerForensics provides an all in one platform for live disk forensic analysis,1399,Host Forensics
Apr4h/CobaltStrikeScan,https://github.com/Apr4h/CobaltStrikeScan,Scan files or process memory for CobaltStrike beacons and parse their configuration,906,Host Forensics
CCob/BeaconEye,https://github.com/CCob/BeaconEye,Hunts out CobaltStrike beacons and logs operator command output,918,Host Forensics
cyberark/zBang,https://github.com/cyberark/zBang,zBang is a risk assessment tool that detects potential privileged account threats ,339,Host Forensics
ElevenPaths/FOCA,https://github.com/ElevenPaths/FOCA,Tool to find metadata and hidden information in the documents.,3189,Host Forensics
gtworek/PSBits,https://github.com/gtworek/PSBits,Simple (relatively) things allowing you to dig a bit deeper than usual.,3345,Host Forensics
NetSPI/MicroBurst,https://github.com/NetSPI/MicroBurst,A collection of scripts for assessing Microsoft Azure security,2159,Host Forensics
certsocietegenerale/FIR,https://github.com/certsocietegenerale/FIR,Fast Incident Response,1874,Host Forensics
DidierStevens/DidierStevensSuite,https://github.com/DidierStevens/DidierStevensSuite,Please no pull requests for this repository. Thanks!,2214,Host Forensics
improvedk/OrcaMDF,https://github.com/improvedk/OrcaMDF,"A C# parser for MDF files. Allows you to read tables, metadata and indexes from MDF files without it being attached to a running SQL Server instance.",185,Host Forensics
b3dk7/StegExpose,https://github.com/b3dk7/StegExpose,A steganalysis tool for detecting LSB steganography in images,214,Host Forensics
DominicBreuker/stego-toolkit,https://github.com/DominicBreuker/stego-toolkit,Collection of steganography tools - helps with CTF challenges,2518,Host Forensics
lukechampine/jsteg,https://github.com/lukechampine/jsteg,JPEG steganography,627,Host Forensics
MarkBaggett/srum-dump,https://github.com/MarkBaggett/srum-dump,A forensics tool to convert the data in the Windows srum (System Resource Usage Monitor) database to an xlsx spreadsheet.,666,Host Forensics
Seabreg/Regshot,https://github.com/Seabreg/Regshot,"Regshot is a small, free and open-source registry compare utility that allows you to quickly take a snapshot of your registry and then compare it with a second one - done after doing system changes or installing a new software product",362,Host Forensics
keydet89/RegRipper3.0,https://github.com/keydet89/RegRipper3.0,RegRipper3.0,604,Host Forensics
google/grr,https://github.com/google/grr,GRR Rapid Response: remote live forensics for incident response,4899,Host Forensics
CCXLabs/CCXDigger,https://github.com/CCXLabs/CCXDigger,"The CyberCX Digger project is designed to help Australian organisations determine if they have been impacted by certain high profile cyber security incidents. Digger provides threat hunting functionality packaged in a simple-to-use tool, allowing users to detect certain attacker activities; all for free.",47,Host Forensics
winsiderss/systeminformer,https://github.com/winsiderss/systeminformer,"A free, powerful, multi-purpose tool that helps you monitor system resources, debug software and detect malware. Brought to you by Winsider Seminars & Solutions, Inc. @ http://www.windows-internals.com",11881,Host Forensics
mandiant/flare-wmi,https://github.com/mandiant/flare-wmi,,428,Host Forensics
mattifestation/CimSweep,https://github.com/mattifestation/CimSweep,CimSweep is a suite of CIM/WMI-based tools that enable the ability to perform incident response and hunting operations remotely across all versions of Windows.,653,Host Forensics
realparisi/WMI_Monitor,https://github.com/realparisi/WMI_Monitor,Log newly created WMI consumers and processes to the Windows Application event log,124,Host Forensics
luctalpe/WMIMon,https://github.com/luctalpe/WMIMon,Tool to monitor WMI activity on Windows,282,Host Forensics
CISOfy/lynis,https://github.com/CISOfy/lynis,"Lynis - Security auditing tool for Linux, macOS, and UNIX-based systems. Assists with compliance testing (HIPAA/ISO27001/PCI DSS) and system hardening. Agentless, and installation optional.",14185,Host Forensics
zux0x3a/0xsp-Mongoose,https://github.com/zux0x3a/0xsp-Mongoose,"a unique framework for cybersecurity simulation and red teaming operations, windows auditing for newer vulnerabilities, misconfigurations and privilege escalations attacks, replicate the tactics and techniques of an advanced adversary in a network.",537,Host Forensics
mattifestation/PSSysmonTools,https://github.com/mattifestation/PSSysmonTools,Sysmon Tools for PowerShell,229,Host Forensics
carlospolop/MalwareWorld,https://github.com/carlospolop/MalwareWorld,System based on +500 blacklists and 5 external intelligences to detect internet potencially malicious hosts,150,Host Forensics
BinaryDefense/artillery,https://github.com/BinaryDefense/artillery,The Artillery Project is an open-source blue team tool designed to protect Linux and Windows operating systems through multiple methods.,1017,Host Forensics
adhdproject/honeyports,https://github.com/adhdproject/honeyports,a port made of honey for blocking people,13,Host Forensics
cowrie/cowrie,https://github.com/cowrie/cowrie,Cowrie SSH/Telnet Honeypot https://docs.cowrie.org/,5551,Host Forensics
